c22,c24,Age,
-32.9086152020817,-33.2762683799373,-107,QPT-18 ST Lower
-33.1233404486494,-33.2021879217448,-106,QPT-18 ST Upper
-32.2801091606638,-32.4945292034506,-105,QPT-18 ST Lower Sum
-32.1265300227671,-32.6125253333107,-104,QPT-18 ST Upper Sum
-31.9583070460296,-31.7136941480983,-103,QPT-18-SS01B 0-0.5cm BD
-33.023345383043,-32.5422643668643,-102,QPT-18 SS01 0-5cm
-32.5305445548127,-32.8908716106867,-101,QPT-18 SS04 0-5cm
-32.6010937229667,-31.9238883369683,-100,QPT-18 SS05 0-5cm
-32.81923176,-33.0039696,-39,
-31.81249304,-32.71316004,205,
-31.96794886,-31.7877533,448,
-31.52147932,-32.29481576,787,
-31.73327978,-32.5505625,1213,
-33.02882362,-32.5213047,1343,
-32.81160852,-32.34660638,1666,
-33.28075849,-32.3837669,1927,
-32.94417864,-32.63475699,2222,
-32.85134115,-32.17292255,2790,
-33.27405683,-32.03673933,3411,
-33.66066459,-32.44622379,3824,
-33.89542983,-32.60229063,4246,
-33.39725277,-32.95259435,4674,
-32.47524895,-30.92524246,5064,
-33.9754323,-32.43458998,5349,
-32.46767112,-31.69150638,5671,
-30.25014138,-29.04614312,5774,
-31.33807836,-30.16152688,5950,
-30.01445287,-27.37184477,6112,
-29.42028175,-26.96148366,6207,
