c22,c24,c26,c28,Age,
-32.9086152020817,-33.2762683799373,-33.6430172209778,-33.7535249279104,-107,QPT-18 ST Lower
-33.1233404486494,-33.2021879217448,-33.498296323313,-33.86202546203,-106,QPT-18 ST Upper
-32.2801091606638,-32.4945292034506,-33.1414856986006,-33.8686921585575,-105,QPT-18 ST Lower Sum
-32.1265300227671,-32.6125253333107,-34.5177337771567,-33.5811096148936,-104,QPT-18 ST Upper Sum
-31.9583070460296,-31.7136941480983,-31.9216400607695,-32.3561280247841,-103,QPT-18-SS01B 0-0.5cm BD
-33.023345383043,-32.5422643668643,-32.9057866755453,-33.3789212567449,-102,QPT-18 SS01 0-5cm
-32.5305445548127,-32.8908716106867,-33.6158744178109,-33.7750600567739,-101,QPT-18 SS04 0-5cm
-32.6010937229667,-31.9238883369683,-32.7274412629955,-32.7238914373823,-100,QPT-18 SS05 0-5cm
-32.81923176,-33.0039696,-33.19141022,-33.73114403,-39,
-31.81249304,-32.71316004,-33.20813697,-33.20768761,205,
-31.96794886,-31.7877533,-32.31153389,-32.18895392,448,
-31.52147932,-32.29481576,-32.83608696,-32.55031013,787,
-31.73327978,-32.5505625,-33.17720538,-33.14241426,1213,
-33.02882362,-32.5213047,-33.07265689,-32.97021448,1343,
-32.81160852,-32.34660638,-32.81849051,-32.74592058,1666,
-33.28075849,-32.3837669,-32.73210739,-32.61861901,1927,
-32.94417864,-32.63475699,-32.69390102,-32.61108109,2222,
-32.85134115,-32.17292255,-32.44372405,-32.18078371,2790,
-33.27405683,-32.03673933,-32.59062959,-32.5790687,3411,
-33.66066459,-32.44622379,-32.91901666,-32.94279619,3824,
-33.89542983,-32.60229063,-32.63954168,-32.62372787,4246,
-33.39725277,-32.95259435,-32.8369496,-31.90008598,4674,
-32.47524895,-30.92524246,-30.21285136,-30.10149399,5064,
-33.9754323,-32.43458998,-32.2749709,-32.23247356,5349,
-32.46767112,-31.69150638,-31.56288139,-31.83165197,5671,
-30.25014138,-29.04614312,-27.91670622,-27.66783529,5774,
-31.33807836,-30.16152688,-29.95351413,-29.8783368,5950,
-30.01445287,-27.37184477,-27.5460349,-27.72352845,6112,
-29.42028175,-26.96148366,-27.44350403,-28.3387537,6207,
