c26,Age,
-33.6430172209778,-107,QPT-18 ST Lower
-33.498296323313,-106,QPT-18 ST Upper
-33.1414856986006,-105,QPT-18 ST Lower Sum
-34.5177337771567,-104,QPT-18 ST Upper Sum
-31.9216400607695,-103,QPT-18-SS01B 0-0.5cm BD
-32.9057866755453,-102,QPT-18 SS01 0-5cm
-33.6158744178109,-101,QPT-18 SS04 0-5cm
-32.7274412629955,-100,QPT-18 SS05 0-5cm
-33.19141022,-39,
-33.20813697,205,
-32.31153389,448,
-32.83608696,787,
-33.17720538,1213,
-33.07265689,1343,
-32.81849051,1666,
-32.73210739,1927,
-32.69390102,2222,
-32.44372405,2790,
-32.59062959,3411,
-32.91901666,3824,
-32.63954168,4246,
-32.8369496,4674,
-30.21285136,5064,
-32.2749709,5349,
-31.56288139,5671,
-27.91670622,5774,
-29.95351413,5950,
-27.5460349,6112,
-27.44350403,6207,
